"","players","span","matches","runs"
"1","V Kohli","2008-2022","223","6624"
"2","S Dhawan","2008-2022","206","6244"
"3","DA Warner","2009-2022","162","5881"
"4","RG Sharma","2008-2022","227","5879"
"5","SK Raina","2008-2021","205","5528"
"6","AB de Villiers","2008-2021","184","5162"
"7","MS Dhoni","2008-2022","234","4978"
"8","CH Gayle","2009-2021","142","4965"
"9","RV Uthappa","2008-2022","205","4952"
"10","KD Karthik","2008-2022","229","4376"
"11","G Gambhir","2008-2018","154","4217"
"12","AT Rayudu","2010-2022","188","4190"
"13","AM Rahane","2008-2022","158","4074"
"14","KL Rahul","2013-2022","109","3889"
"15","SR Watson","2008-2020","145","3874"
"16","MK Pandey","2008-2022","160","3648"
"17","SV Samson","2013-2022","138","3526"
"18","KA Pollard","2010-2022","189","3412"
"19","F du Plessis","2012-2022","116","3403"
"20","YK Pathan","2008-2019","174","3204"
"21","BB McCullum","2008-2018","109","2880"
"22","PA Patel","2008-2019","139","2848"
"23","RR Pant","2016-2022","98","2838"
"24","JC Buttler","2016-2022","82","2831"
"25","SS Iyer","2015-2022","101","2776"
"26","Q de Kock","2013-2022","92","2764"
"27","Yuvraj Singh","2008-2019","132","2750"
"28","V Sehwag","2008-2015","104","2728"
"29","SA Yadav","2012-2022","123","2644"
"30","M Vijay","2009-2020","106","2619"
"31","RA Jadeja","2008-2022","210","2502"
"32","SPD Smith","2012-2021","103","2485"
"33","SE Marsh","2008-2017","71","2477"
"34","DA Miller","2012-2022","105","2455"
"35","JH Kallis","2008-2014","98","2427"
"36","WP Saha","2008-2022","144","2427"
"37","DR Smith","2008-2017","91","2385"
"38","SR Tendulkar","2008-2013","78","2334"
"39","MA Agarwal","2011-2022","113","2327"
"40","GJ Maxwell","2012-2022","110","2319"
"41","N Rana","2016-2022","91","2181"
"42","R Dravid","2008-2013","89","2174"
"43","KS Williamson","2015-2022","76","2101"
"44","AJ Finch","2010-2022","92","2091"
"45","AC Gilchrist","2008-2013","80","2069"
"46","AD Russell","2012-2022","98","2035"
"47","JP Duminy","2009-2018","83","2029"
"48","MEK Hussey","2008-2015","59","1977"
"49","HH Pandya","2015-2022","107","1963"
"50","Shubman Gill","2018-2022","74","1900"
